step          none      temp        potential_energy  none                none              none          none
      1355  0.00000000 1494.365   -176.9165653206   -166.5257258500      0.0000000000   0.474825E+01     3.65
      1360  0.00000000 1545.218   -176.9469849280   -166.4826406806      0.0000000000   0.461324E+01     2.33
      1365  0.00000000 1087.255   -176.9894865881   -166.4738468771      0.0000000000   0.447469E+01     2.79
      1370  0.00000000  304.492   -177.0247348615   -166.5047754382      0.0000000000   0.436242E+01     2.58
      1375  0.00000000  260.974   -177.0454283643   -166.5175422796      0.0000000000   0.430293E+01     2.36
      1380  0.00000000  344.397   -177.0416101742   -166.5068183704      0.0000000000   0.432626E+01     2.15
      1385  0.00000000  368.921   -177.0085802416   -166.4665273436      0.0000000000   0.438870E+01     1.93
      1390  0.00000000  304.213   -177.0165959738   -166.4719845618      0.0000000000   0.444381E+01     2.14
      1395  0.00000000  336.567   -177.0240139239   -166.4713390999      0.0000000000   0.442866E+01     3.22
      1400  0.00000000  416.869   -177.0383287363   -166.4744607625      0.0000000000   0.442057E+01     3.00
      1405  0.00000000  573.324   -177.0709682638   -166.4900849052      0.0000000000   0.436618E+01     4.29
      1410  0.00000000  868.849   -177.0789742477   -166.4688647042      0.0000000000   0.430289E+01     3.00
      1415  0.00000000  966.412   -177.0891550187   -166.4414331164      0.0000000000   0.424538E+01     3.86
      1420  0.00000000  978.981   -177.0861373778   -166.3907739789      0.0000000000   0.423503E+01     3.43
      1425  0.00000000  667.785   -177.0844090898   -166.3724485213      0.0000000000   0.429079E+01     3.00
